variant_status;original_developers;common_active_maintainers;motivation;motivation_detail
Attached;2 -- 5;no;technical;different goals
Attached;2 -- 5;no;technical;feature frozen
Attached;2 -- 5;yes;others;supporting upstream
Attached;2 -- 5;yes;others;supporting upstream
Attached;2 -- 5;yes;others;supporting upstream
Attached;6 -- 10;no;governance;feature acceptance
Attached;6 -- 10;no;legal;commercial variant
Attached;6 -- 10;no;others;supporting personal projects
Attached;6 -- 10;no;technical;new features
Attached;6 -- 10;no;technical;new features
Attached;6 -- 10;yes;others;collaboration
Attached;6 -- 10;yes;others;supporting upstream
Attached;cannot remember;no;technical;different goals
Attached;cannot remember;not sure;governance;feature acceptance
Attached;cannot remember;not sure;technical;new features
Attached;cannot remember;yes;technical;different goals
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;feature acceptance
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;governance;responsiveness
Attached;none;no;others;code quality
Attached;none;no;others;code quality
Attached;none;no;others;community takeover
Attached;none;no;others;localization
Attached;none;no;others;localization
Attached;none;no;others;localization
Attached;none;no;others;seeked community help
Attached;none;no;others;supporting personal projects
Attached;none;no;others;supporting personal projects
Attached;none;no;others;supporting personal projects
Attached;none;no;others;supporting personal projects
Attached;none;no;others;supporting personal projects
Attached;none;no;others;supporting personal projects
Attached;none;no;technical;customization
Attached;none;no;technical;customization
Attached;none;no;technical;customization
Attached;none;no;technical;customization
Attached;none;no;technical;customization
Attached;none;no;technical;different goals
Attached;none;no;technical;different goals
Attached;none;no;technical;different goals
Attached;none;no;technical;different goals
Attached;none;no;technical;enhancement
Attached;none;no;technical;enhancement
Attached;none;no;technical;enhancement
Attached;none;no;technical;enhancement
Attached;none;no;technical;feature frozen
Attached;none;no;technical;feature frozen
Attached;none;no;technical;feature frozen
Attached;none;no;technical;feature frozen
Attached;none;no;technical;feature frozen
Attached;none;no;technical;feature frozen
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;maintenance
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new features
Attached;none;no;technical;new release
Attached;none;no;technical;new release
Attached;none;no;technical;stripped version
Attached;none;no;technical;stripped version
Attached;none;no;technical;technology
Attached;none;no;technical;technology
Attached;none;no;technical;technology
Attached;none;no;technical;technology
Attached;none;no;technical;technology
Attached;none;no;technical;technology
Attached;none;yes;technical;different goals
Attached;none;yes;technical;different goals
Attached;none;yes;technical;maintenance
Attached;none;yes;technical;new features
Attached;none;yes;technical;technology
Attached;none;yes & no;technical;maintenance
Attached;one;no;governance;responsiveness
Attached;one;no;others;mainline lacks the resources
Attached;one;no;technical;customization
Attached;one;no;technical;different goals
Attached;one;no;technical;different goals
Attached;one;no;technical;different goals
Attached;one;no;technical;maintenance
Attached;one;yes;governance;responsiveness
Attached;one;yes;legal;privacy
Attached;one;yes;others;supporting upstream
Attached;one;yes;others;supporting upstream
Attached;one;yes;others;supporting upstream
Attached;one;yes;technical;customization
Attached;one;yes;technical;different goals
Attached;one;yes;technical;maintenance
Attached;one;yes & no;technical;different goals
Detached;2 -- 5;yes & no;governance;differences
Detached;2 -- 5;yes & no;legal;closed source
Detached;2 -- 5;yes & no;technical;new features
Detached;none;no;governance;feature acceptance
Detached;none;no;governance;responsiveness
Detached;none;no;governance;responsiveness
Detached;none;no;governance;responsiveness
Detached;none;no;others;code quality
Detached;none;no;technical;different goals
Detached;none;no;technical;different goals
Detached;none;no;technical;different goals
Detached;none;no;technical;new features
Detached;none;no;technical;new features
Detached;none;no;technical;technology
Detached;one;no;governance;feature acceptance
Detached;one;no;technical;customization